question,answer
What is rice blast and how does it affect rice crops?",Rice blast is a fungal disease that affects rice crops causing lesions on the leaves stem and panicles. It can reduce yield and quality of rice crops if not managed properly.
What is the most effective way to manage rice blast?",The most effective way to manage rice blast is to use resistant rice varieties crop rotation and fungicide applications.
What is rice sheath blight and how does it affect rice crops?",Rice sheath blight is a fungal disease that affects the leaves and sheaths of the rice plant causing irregularly shaped lesions. It can cause lodging and yield loss if not managed properly.
What is the most effective way to manage rice sheath blight?",The most effective way to manage rice sheath blight is to use resistant rice varieties avoid excessive nitrogen fertilization and use appropriate spacing and planting density.
What is rice brown spot and how does it affect rice crops?",Rice brown spot is a fungal disease that affects the leaves of the rice plant causing small oval-shaped lesions that turn brown with age. It can cause significant yield loss particularly under conditions of high humidity.
What is the most effective way to manage rice brown spot?",The most effective way to manage rice brown spot is to use resistant rice varieties crop rotation and fungicide applications.
What is bacterial leaf streak and how does it affect rice crops?",Bacterial leaf streak is a bacterial disease that affects the leaves of the rice plant causing long narrow lesions that turn brown with age. It can cause yield loss if not managed properly.
What is the most effective way to manage bacterial leaf streak?",The most effective way to manage bacterial leaf streak is to use resistant rice varieties avoid overhead irrigation and use appropriate planting density.
What is rice tungro and how does it affect rice crops?",Rice tungro is a viral disease complex that affects the entire rice plant stunting its growth and reducing yield. It is transmitted by insects such as leafhoppers.
What is the most effective way to manage rice tungro?",The most effective way to manage rice tungro is to use resistant rice varieties remove infected plants and control the populations of insect vectors.
What is rice ragged stunt and how does it affect rice crops?",Rice ragged stunt is a viral disease that affects the entire rice plant causing stunting yellowing and ragged leaves. It can cause significant yield loss if not managed properly.
What is the most effective way to manage rice ragged stunt?",The most effective way to manage rice ragged stunt is to use resistant rice varieties control insect vectors and remove infected plants.
What is rice grassy stunt and how does it affect rice crops?",Rice grassy stunt is a viral disease that affects the entire rice plant causing stunting yellowing and reduced tillering. It can cause significant yield loss if not managed properly.
What is the most effective way to manage rice grassy stunt?",The most effective way to manage rice grassy stunt is to use resistant rice varieties control insect vectors and remove infected plants.
What is rice yellow mottle virus and how does it affect rice crops?",Rice yellow mottle virus is a viral disease that affects the entire rice plant causing yellowing stunting and reduced tillering. It can cause significant yield loss if not managed properly.
What is the most effective way to manage rice yellow mottle virus?",The most effective way to manage rice yellow mottle virus is to use resistant rice varieties control insect vectors and remove infected plants.
What is rice blast and how does it affect rice crops?",Rice blast is a fungal disease that affects rice crops causing lesions on the leaves stem and panicles. It can reduce yield and quality of rice crops if not managed properly.
What is the most effective way to manage rice blast?",The most effective way to manage rice blast is to use resistant rice varieties crop rotation and fungicide applications.
What is rice sheath blight and how does it affect rice crops?",Rice sheath blight is a fungal disease that affects the leaves and sheaths of the rice plant causing irregularly shaped lesions. It can cause lodging and yield loss if not managed properly.
What is the most effective way to manage rice sheath blight?",The most effective way to manage rice sheath blight is to use resistant rice varieties avoid excessive nitrogen fertilization and use appropriate spacing and planting density.
What is rice brown spot and how does it affect rice crops?",Rice brown spot is a fungal disease that affects the leaves of the rice plant causing small oval-shaped lesions that turn brown with age. It can cause significant yield loss particularly under conditions of high humidity.
What is the most effective way to manage rice brown spot?",The most effective way to manage rice brown spot is to use resistant rice varieties crop rotation and fungicide applications.
What is bacterial leaf streak and how does it affect rice crops?",Bacterial leaf streak is a bacterial disease that affects the leaves of the rice plant causing long narrow lesions that turn brown with age. It can cause yield loss if not managed properly.
What is the most effective way to manage bacterial leaf streak?",The most effective way to manage bacterial leaf streak is to use resistant rice varieties avoid overhead irrigation and use appropriate planting density.
What is rice tungro and how does it affect rice crops?",Rice tungro is a viral disease complex that affects the entire rice plant stunting its growth and reducing yield. It is transmitted by insects such as leafhoppers.
What is the most effective way to manage rice tungro?",The most effective way to manage rice tungro is to use resistant rice varieties remove infected plants and control the populations of insect vectors.
What is rice ragged stunt and how does it affect rice crops?",Rice ragged stunt is a viral disease that affects the entire rice plant causing stunting yellowing and ragged leaves. It can cause significant yield loss if not managed properly.
What is the most effective way to manage rice ragged stunt?",The most effective way to manage rice ragged stunt is to use resistant rice varieties control insect vectors and remove infected plants.
What is rice grassy stunt and how does it affect rice crops?",Rice grassy stunt is a viral disease that affects the entire rice plant causing stunting yellowing and reduced tillering. It can cause significant yield loss if not managed properly.
What is the most effective way to manage rice grassy stunt?",The most effective way to manage rice grassy stunt is to use resistant rice varieties control insect vectors and remove infected plants.
What is rice yellow mottle virus and how does it affect rice crops?",Rice yellow mottle virus is a viral disease that affects the entire rice plant causing yellowing stunting and reduced tillering. It can cause significant yield loss if not managed properly.
What is the most effective way to manage rice yellow mottle virus?",The most effective way to manage rice yellow mottle virus is to use resistant rice varieties control insect vectors and remove infected plants.
What is rice black-streaked dwarf virus and how does it affect rice",Rice black-streaked dwarf virus (RBSDV) is a plant virus transmitted by the small brown planthopper that infects rice crops  causing reduced yields and lower grain quality.
what is the duration of hraswa rice for cultivation",75-80 days
what is the duration of katta modan rice for cultivation",110-115 days
what is the duration of karutha modan rice for cultivation",105-110 days
what is the duration of chuvanna modan rice for cultivation",105-110 days
what is the duration of annapoorna rice for cultivation",95-100 days
what is the duration of rohini rice for cultivation",85-105 days
what is the duration of jyothi rice for cultivation",110-115 days
what is the duration of triveni rice for cultivation",100-105 days
what is the duration of swarma prabha rice for cultivation",105-110 days
what is the duration of matta triveni rice for cultivation",100-105 days
what is the duration of kairali rice for cultivation",110-115 days
what is the duration of kanchana rice for cultivation",105-110 days
what is the duration of karthika rice for cultivation",105-110 days
what is the duration of aruna rice for cultivation",100-110 days
what is the duration of makam rice for cultivation",100-110 days
what is the duration of ramanika rice for cultivation",100-105 days
what is the duration of revahy rice for cultivation",105-110 days
what is the duration of krishnaja rice for cultivation",105-110 days
what is the duration of bhagya rice for cultivation",100 days
what is the duration of onam rice for cultivation",95 days
what is the duration of ASD 17 rice for cultivation",100-105 days
what is the duration of ahalya 17 rice for cultivation",90-100 days
what is the duration of harsha 17 rice for cultivation",105-110 days
what is the duration of varsha 17 rice for cultivation",110-115 days
what is the duration of kunjukunju varna 17 rice for cultivation",110-115 days
what is the duration of kunjukunju priya 17 rice for cultivation",105-110 days
what is the duration of chingam 17 rice for cultivation",95-100 days
what is the duration of manupriya 17 rice for cultivation",105-110 days
what is the duration of prathyasha 17 rice for cultivation",100-110 days
what is the duration of samyuktha 17 rice for cultivation",112-117 days
what is the duration of ASD 16 rice for cultivation",110-115 days
what pesticide can be used to elimate  the diseases Blast  Brown plant hopper  Stem  Green leafhopper  and Leaf folder., Chlorpyrifos is used to elimate this disease 
what pesticide can be used to elimate  the diseases Stem borer,Cypermethrin is used to elimate this disease
what pesticide can be used to elimate  the diseases Blast and Sheath blight.",Carbendazim and Propiconazole is used to elimate this disease
what pesticide can be used to elimate  the diseases  Stem borer  Leaf folder and Whorl maggot.,Cartap Hydrochloride is used to elimate this disease 
What are the different types of soil found in Kerala?,The major soil types found in Kerala are laterite
How can I prepare my soil for planting?,To prepare your soil for planting
What are the best irrigation methods for farming in Kerala?,The best irrigation methods for farming in Kerala depend on the type of crop being grown and the soil type. Some common irrigation methods used in Kerala include drip irrigation
How can I prevent soil erosion on my farm?,You can prevent soil erosion on your farm by planting cover crops
What are some common crop diseases found in Kerala?,Some common crop diseases found in Kerala include rice blast
What is the best time to plant rice in Kerala?,The best time to plant rice in Kerala is during the monsoon season
What is the difference between organic and conventional farming?,Organic farming involves using natural methods to grow crops and control pests and diseases
How can I control pests in my fields without using chemicals?,You can control pests in your fields without using chemicals by using natural methods like crop rotation
What are some common spices grown in Kerala?,Some common spices grown in Kerala include black pepper
How can I improve the fertility of my soil?,You can improve the fertility of your soil by adding organic matter like compost or manure
What are some common methods of seed propagation?,Some common methods of seed propagation include direct seeding
How can I maintain the quality of my crops after harvest?,To maintain the quality of your crops after harvest
What are some common pests that affect coconut trees in Kerala?,Some common pests that affect coconut trees in Kerala include red palm weevil
How can I increase the shelf life of my fruits and vegetables?,You can increase the shelf life of your fruits and vegetables by storing them at the right temperature and humidity levels. It's also important to handle
What are the most commonly grown crops in Kerala?,The most commonly grown crops in Kerala are rice
How do I prepare the soil for growing vegetables?,To prepare soil for growing vegetables
What is the best time to plant paddy in Kerala?,The best time to plant paddy in Kerala is between June and July
How can I protect my crops from pests and diseases?,You can protect your crops from pests and diseases by using natural pesticides
What are the benefits of using organic farming methods?,Organic farming methods are beneficial because they promote soil health
How can I increase the yield of my crops?,You can increase the yield of your crops by using high-quality seeds
What are the common irrigation methods used in Kerala?,The common irrigation methods used in Kerala include drip irrigation
What are the major challenges faced by farmers in Kerala?,The major challenges faced by farmers in Kerala include land scarcity
How can I improve the quality of my produce?,You can improve the quality of your produce by using high-quality seeds
What are the main sources of agricultural income in Kerala?,The main sources of agricultural income in Kerala are paddy cultivation
What are the major crops grown in Kerala?,The major crops grown in Kerala include rice
What are some common agricultural pests and diseases in Kerala?,Some common agricultural pests and diseases in Kerala include the coconut black headed caterpillar
What are some good practices for maintaining healthy soil in a Kerala farm?,Good practices for maintaining healthy soil in a Kerala farm include crop rotation
What is the role of government in agriculture in Kerala?,The government in Kerala provides various subsidies
What are some common irrigation techniques used in Kerala farming?,Common irrigation techniques used in Kerala farming include drip irrigation
What are some common post-harvesting techniques used in Kerala?,Common post-harvesting techniques used in Kerala include drying
What are the benefits of intercropping in a Kerala farm?,Intercropping helps in increasing the productivity of the farm
How can farmers in Kerala reduce water wastage?,Farmers in Kerala can reduce water wastage by using efficient irrigation techniques like drip irrigation and by collecting and storing rainwater.
What is the best time for planting rice in Kerala?,The best time for planting rice in Kerala is from May to June during the monsoon season.
How can farmers in Kerala protect their crops from pests and diseases without using chemicals?,Farmers in Kerala can protect their crops from pests and diseases by using natural methods like crop rotation
What is the ideal temperature range for growing tea in Kerala?,The ideal temperature range for growing tea in Kerala is 20-30°C.
What are some common problems faced by rubber farmers in Kerala?,Some common problems faced by rubber farmers in Kerala include leaf fall disease
What are the advantages of using organic farming methods in Kerala?,Organic farming methods in Kerala are environmentally sustainable
What is the role of women in agriculture in Kerala?,Women play a significant role in agriculture in Kerala
What are some good practices for conserving water in a Kerala farm?,Good practices for conserving water in a Kerala farm include using efficient irrigation methods
What is the best time for planting coconut trees in Kerala?,The best time for planting coconut trees in Kerala is during the monsoon season from May to July.
What are some common farming tools and equipment used in Kerala?,Common farming tools and equipment used in Kerala include hoes
What are some common problems faced by rice farmers in Kerala?,Some common problems faced by rice farmers in Kerala include pests like rice blast disease and bacterial leaf blight
What is the role of fertilizers in Kerala farming?,Fertilizers play a crucial role in improving soil fertility and increasing crop productivity in Kerala farming.
What are some good practices for maintaining the health of coconut trees in Kerala?,Good practices for maintaining the health of coconut trees in Kerala include regular pruning
What are the major crops grown in Kerala?,The major crops grown in Kerala include paddy
What is the role of agriculture in the economy of Kerala?,Agriculture plays a significant role in the economy of Kerala
What are some of the challenges faced by farmers in Kerala?,Farmers in Kerala face a range of challenges
What is the importance of organic farming in Kerala?,Organic farming is becoming increasingly important in Kerala
What are the main factors affecting crop productivity in Kerala?,The main factors affecting crop productivity in Kerala include soil fertility
What is the impact of climate change on agriculture in Kerala?,Climate change is having a significant impact on agriculture in Kerala
What are some of the common pests and diseases affecting crops in Kerala?,Some of the common pests and diseases affecting crops in Kerala include leaf spot
What is the government doing to support agriculture in Kerala?,The government of Kerala has launched a number of initiatives to support agriculture
How can farmers in Kerala improve their productivity?,Farmers in Kerala can improve their productivity by adopting good agricultural practices
What are the main steps involved in the cultivation of paddy in Kerala?,The main steps involved in the cultivation of paddy in Kerala include land preparation
What are the benefits of crop diversification for farmers in Kerala?,Crop diversification can help farmers in Kerala reduce their risk of crop failure
What is the role of cooperatives in agriculture in Kerala?,Cooperatives play an important role in agriculture in Kerala
What are some of the popular spices grown in Kerala?,Kerala is known for its rich variety of spices
How can farmers in Kerala cope with water scarcity?,Farmers in Kerala can cope with water scarcity by adopting water-saving technologies like drip irrigation
What is the importance of livestock farming in Kerala?,Livestock farming is an important source of livelihood for many farmers in Kerala
What are some of the common problems faced by livestock farmers in Kerala?,Some of the common problems faced by livestock farmers in Kerala include poor animal health
What is the best way to store seeds?,Seeds should be stored in a cool
How can I ensure that my seeds are high quality?,It's important to purchase seeds from reputable sources and to check for the germination rate before planting.
What are heirloom seeds?,Heirloom seeds are seeds that have been passed down through generations of farmers and are often open-pollinated
What are some common climate-related challenges for farmers in Kerala?,Farmers in Kerala may face challenges such as flooding
How can farmers protect their crops from pests without using harmful pesticides?,Farmers can use natural methods such as crop rotation
What is the role of pesticides in agriculture?,Pesticides are used to control pests and diseases that can damage crops and reduce yields. However
What are some common pesticides used in agriculture?,Common pesticides used in agriculture include insecticides
What is integrated pest management?,Integrated pest management is a holistic approach to pest control that involves using a combination of methods
How can farmers adapt to climate change?,Farmers can adapt to climate change by using drought-resistant crops
What are some examples of sustainable farming practices?,Examples of sustainable farming practices include conservation tillage
What is the best time to plant tapioca?,The best time to plant tapioca is during May to June.
What are the benefits of intercropping?,Intercropping helps to increase the overall yield
How to prevent pest infestations in paddy fields?,Using biocontrol agents and natural pesticides can help prevent pest infestations in paddy fields.
What is the ideal temperature for growing cardamom?,The ideal temperature for growing cardamom is between 10°C to 35°C.
What is the best time to plant mango trees in Kerala?,The best time to plant mango trees in Kerala is during the pre-monsoon season from March to May.
What are the common diseases affecting coconut trees in Kerala?,The common diseases affecting coconut trees in Kerala are stem bleeding
What are the benefits of using organic manure?,Using organic manure helps to improve soil fertility
What are the benefits of using green manure?,Using green manure helps to improve soil fertility
What is the ideal time for pruning coffee plants?,The ideal time for pruning coffee plants is from January to February.
What are the benefits of drip irrigation?,Drip irrigation helps to reduce water usage
What are the common pests affecting tomato plants in Kerala?,The common pests affecting tomato plants in Kerala are aphids
What are the benefits of using neem oil as a pesticide?,Using neem oil as a pesticide helps to control a wide range of pests
What is the ideal time for planting ginger in Kerala?,The ideal time for planting ginger in Kerala is from May to July.
What are the benefits of using biofertilizers?,Using biofertilizers helps to improve soil fertility
What is the ideal temperature for growing black pepper?,The ideal temperature for growing black pepper is between 20°C to 30°C.
What are the benefits of using vermicompost?,Using vermicompost helps to improve soil fertility
What are the common pests affecting paddy crops in Kerala?,The common pests affecting paddy crops in Kerala are stem borers
What are the benefits of using cow dung as a fertilizer?,Using cow dung as a fertilizer helps to improve soil fertility
What is the ideal time for planting banana trees in Kerala?,The ideal time for planting banana trees in Kerala is during the rainy season from June to September.
What are the benefits of using compost tea?,Using compost tea helps to improve soil fertility
What is the ideal temperature for growing rubber trees?,The ideal temperature for growing rubber trees is between 25°C to 35°C.
What are the common diseases affecting banana plants in Kerala?,The common diseases affecting banana plants in Kerala are bunchy top disease and Panama wilt disease.
What are the benefits of using fish emulsion as a fertilizer?,Using fish emulsion as a fertilizer helps to improve soil fertility
What is the ideal time for planting pepper in Kerala?,The ideal time for planting pepper in Kerala is from March to April.
What are the current market prices for cardamom?,The current market prices for cardamom in Kerala are around Rs. 2
What are the current market prices for black pepper?,The current market prices for black pepper in Kerala are around Rs. 350 to Rs. 400 per kg.
What are the current market prices for coconut?,The current market prices for coconut in Kerala are around Rs. 25 to Rs. 30 per kg.
What are the current market prices for rubber?,The current market prices for rubber in Kerala are around Rs. 170 to Rs. 180 per kg.
What are the current market prices for coffee?,The current market prices for coffee in Kerala are around Rs. 5
What are the current market prices for ginger?,The current market prices for ginger in Kerala are around Rs. 60 to Rs. 80 per kg.
What are the current market prices for turmeric?,The current market prices for turmeric in Kerala are around Rs. 70 to Rs. 80 per kg.
What are the current market prices for banana?,The current market prices for banana in Kerala are around Rs. 20 to Rs. 25 per kg.
What are the current market prices for betel leaf?,The current market prices for betel leaf in Kerala are around Rs. 200 to Rs. 250 per kg.
What is the current price of rice in the Kerala market?,The current price of rice in the Kerala market varies depending on the variety
What are some common diseases that affect aquaculture?,Common diseases in aquaculture include bacterial infections
How can I prevent disease outbreaks in my aquaculture operation?,To prevent disease outbreaks in your aquaculture operation
What are some common diseases that affect dairy cows?,Common diseases that affect dairy cows include mastitis
How can I prevent disease in my dairy herd?,To prevent disease in your dairy herd
What are some common pests that affect orchards?,Common pests that affect orchards include aphids
What are some organic methods for controlling orchard pests?,Organic methods for controlling orchard pests include using beneficial insects
What are some common diseases that affect dogs in a farming environment?,Common diseases that affect dogs in a farming environment include Lyme disease
How can I protect my dogs from disease in a farming environment?,To protect your dogs from disease in a farming environment
What are some common diseases that affect poultry?,Common diseases that affect poultry include avian influenza
How can I prevent disease outbreaks in my poultry flock?,To prevent disease outbreaks in your poultry flock
What are the best crops to grow during the rainy season in Kerala?,Rice
What is the average yield per hectare for rice cultivation in Kerala?,The average yield per hectare for rice cultivation in Kerala is around 2
What are some common diseases that affect pepper plants in Kerala?,Some common diseases that affect pepper plants in Kerala include foot rot
What is the best time to plant tapioca in Kerala?,The best time to plant tapioca in Kerala is during the summer season
How can I control leaf blight in tomato plants?,Leaf blight in tomato plants can be controlled by removing infected leaves
What are some common diseases that affect cashew trees in Kerala?,Some common diseases that affect cashew trees in Kerala include powdery mildew
What is the ideal temperature range for dairy cows in Kerala?,The ideal temperature range for dairy cows in Kerala is between 15°C and 25°C.
What is the best time to prune grape vines in Kerala?,The best time to prune grape vines in Kerala is during the winter season
What is the best time to plant onion in Kerala?,The best time to plant onion in Kerala is during the winter season
What are some common diseases that affect coconut trees in Kerala?,Some common diseases that affect coconut trees in Kerala include lethal yellowing disease
How can I prevent fungal diseases in cucumber plants?,Fungal diseases in cucumber plants can be prevented by providing adequate spacing between plants
What is the best time to harvest pepper in Kerala?,The best time to harvest pepper in Kerala is during the months of November and December.
What is the ideal pH range for growing pineapple in Kerala?,The ideal pH range for growing pineapple in Kerala is between 4.5 and 5.5.
What are some common diseases that affect ginger plants in Kerala?,Some common diseases that affect ginger plants in Kerala include soft rot
How can I control fruit flies in mango trees?,Fruit flies in mango trees can be controlled by using pheromone traps
What is the best time to plant banana in Kerala?,The best time to plant banana in Kerala is during the summer season
What is the best time to plant cocoa in Kerala?,The best time to plant cocoa in Kerala is during the monsoon season
What are some common diseases that affect tomato plants in Kerala?,Some common diseases that affect tomato plants in Kerala include bacterial wilt
How can I control root rot in cardamom plants?,Root rot in cardamom plants can be controlled by using fungicides
What is the ideal temperature range for growing turmeric in Kerala?,The ideal temperature range for growing turmeric in Kerala is between 20°C and 30°C.
What is the best time to plant rubber trees in Kerala?,The best time to plant rubber trees in Kerala is during the monsoon season
What are some common diseases that affect aquaculture?,Some common diseases that affect aquaculture include bacterial infections
How can you prevent the spread of diseases in aquaculture?,You can prevent the spread of diseases in aquaculture by maintaining good water quality
What are some common diseases that affect dairy cows?,Some common diseases that affect dairy cows include mastitis
How can you prevent the spread of diseases in a dairy herd?,You can prevent the spread of diseases in a dairy herd by maintaining good hygiene
What are some common diseases that affect honeybees?,Some common diseases that affect honeybees include Varroa mites
How can you prevent the spread of diseases in a beehive?,You can prevent the spread of diseases in a beehive by practicing good hive management
What are some common diseases that affect dogs on a farm?,Some common diseases that affect dogs on a farm include parvovirus
How can you prevent the spread of diseases in a dog population on a farm?,You can prevent the spread of diseases in a dog population on a farm by vaccinating the dogs against common diseases
What are some common diseases that affect poultry?,Some common diseases that affect poultry include avian influenza
How can you prevent the spread of diseases in a poultry flock?,You can prevent the spread of diseases in a poultry flock by maintaining good hygiene
What are some common diseases that affect pigs on a farm?,Some common diseases that affect pigs on a farm include African swine fever
How can you prevent the spread of diseases in a pig herd?,You can prevent the spread of diseases in a pig herd by maintaining good hygiene
What are some common diseases that affect goats on a farm?,Some common diseases that affect goats on a farm include caprine arthritis and encephalitis
How can you prevent the spread of diseases in a goat herd?,You can prevent the spread of diseases in a goat herd by maintaining good hygiene
What are some common diseases that affect sheep on a farm?,Some common diseases that affect sheep on a farm include foot rot
How can you prevent the spread of diseases in a sheep flock?,You can prevent the spread of diseases in a sheep flock by maintaining good hygiene
What are some common diseases that affect cattle on a farm?,Some common diseases that affect cattle on a farm include bovine respiratory disease
How can you prevent the spread of diseases in a cattle herd?,You can prevent the spread of diseases in a cattle herd by maintaining good hygiene
What are some common diseases that affect horses on a farm?,Some common diseases that affect horses on a farm include equine influenza
what is the duration of hraswa rice for cultivation,75-80 days
what is the duration of katta modan rice for cultivation,110-115 days
what is the duration of karutha modan rice for cultivation,105-110 days
what is the duration of chuvanna modan rice for cultivation,105-110 days
what is the duration of annapoorna rice for cultivation,95-100 days
what is the duration of rohini rice for cultivation,85-105 days
what is the duration of jyothi rice for cultivation,110-115 days
what is the duration of triveni rice for cultivation,100-105 days
what is the duration of swarma prabha rice for cultivation,105-110 days
what is the duration of matta triveni rice for cultivation,100-105 days
what is the duration of kairali rice for cultivation,110-115 days
what is the duration of kanchana rice for cultivation,105-110 days
what is the duration of karthika rice for cultivation,105-110 days
what is the duration of aruna rice for cultivation,100-110 days
what is the duration of makam rice for cultivation,100-110 days
what is the duration of ramanika rice for cultivation,100-105 days
what is the duration of revahy rice for cultivation,105-110 days
what is the duration of krishnaja rice for cultivation,105-110 days
what is the duration of bhagya rice for cultivation,100 days
what is the duration of onam rice for cultivation,95 days
what is the duration of ASD 17 rice for cultivation,100-105 days
what is the duration of ahalya 17 rice for cultivation,90-100 days
what is the duration of harsha 17 rice for cultivation,105-110 days
what is the duration of varsha 17 rice for cultivation,110-115 days
what is the duration of kunjukunju varna 17 rice for cultivation,110-115 days
what is the duration of kunjukunju priya 17 rice for cultivation,105-110 days
what is the duration of chingam 17 rice for cultivation,95-100 days
what is the duration of manupriya 17 rice for cultivation,105-110 days
what is the duration of prathyasha 17 rice for cultivation,100-110 days
what is the duration of samyuktha 17 rice for cultivation,112-117 days
what is the duration of ASD 16 rice for cultivation,110-115 days
What crops are suitable for cultivation in Kerala?,Kerala has a suitable climate for the cultivation of crops like rice coconut rubber pepper coffee tea and spices.
How can I protect my crops from pests and diseases?,You can use natural methods like neem oil garlic and tobacco to control pests and diseases. It's also important to maintain good hygiene and sanitation in your fields to prevent the spread of disease.
What are some common farming practices in Kerala?,Some common farming practices in Kerala include organic farming mixed cropping and the use of traditional methods like mulching and intercropping.
How can I increase my crop yield?,You can increase your crop yield by using organic fertilizers rotating your crops and using high-yield seed varieties. It's also important to maintain good soil health by adding organic matter and practicing proper irrigation.
